text,filename,voice,exaggeration,cfg_weight,temperature
"The two cats aren't touching anymore. There's space between them.",068-space,other-screen-narrator,0.60,0.42,0.82
"And wolves live for space.",069-live-for,other-screen-narrator,0.62,0.42,0.82
"Three rush in instantly.",070-three-rush,other-screen-narrator,0.64,0.38,0.82
"One snaps at the back leg. Another grabs fur at the flank. Another distracts from the front.",071-attack,other-screen-narrator,0.62,0.40,0.82
"The jaguar spins, slashing, roaring... claws cutting air and flesh.",072-spins,other-screen-narrator,0.64,0.38,0.82
"It injures one wolf badly. But it can't focus.",073-injures,other-screen-narrator,0.60,0.42,0.82
"Every time it turns to attack one... another bites from behind.",074-behind,other-screen-narrator,0.62,0.40,0.82
"The second jaguar charges in to help... scattering the pack again.",075-second,other-screen-narrator,0.62,0.40,0.82
"But now both cats are exhausted. Breathing heavy. Blood starting to show through fur.",076-exhausted,other-screen-narrator,0.60,0.42,0.82
"The wolves... are barely winded.",077-barely,other-screen-narrator,0.62,0.40,0.82
"They keep rotating. Fresh legs. Fresh attackers. Pressure that never stops.",078-rotating,other-screen-narrator,0.60,0.42,0.82
"And that's the difference.",079-difference,other-screen-narrator,0.62,0.42,0.82
"If this fight happened fast... if the wolves rushed in carelessly... the jaguars would win easily.",080-if-fast,other-screen-narrator,0.60,0.40,0.82
"One or two clean grabs... and it's over.",081-clean,other-screen-narrator,0.60,0.42,0.82
"But wolves aren't careless. They're patient. Relentless.",082-patient,other-screen-narrator,0.62,0.42,0.82
"They turn strength into weakness.",083-strength,other-screen-narrator,0.62,0.40,0.82
"They stretch seconds into minutes... minutes into hours.",084-stretch,other-screen-narrator,0.60,0.40,0.82
"Until even the strongest predator slows down.",085-slows,other-screen-narrator,0.62,0.42,0.82
"And once a jaguar can't sprint... can't explode... its greatest advantage disappears.",086-advantage,other-screen-narrator,0.62,0.40,0.82
"In a short, brutal clash... the jaguars dominate.",087-short,other-screen-narrator,0.62,0.42,0.82
"In a long, grinding battle... the pack takes control.",088-long,other-screen-narrator,0.62,0.40,0.82
"Because power wins the first strike. But teamwork... wins the war.",089-teamwork,other-screen-narrator,0.64,0.40,0.82
"So if two jaguars truly faced a full timberwolf pack deep in the wild... the outcome wouldn't be decided by strength alone.",090-outcome,other-screen-narrator,0.60,0.40,0.82
"It would be decided by time.",091-time,other-screen-narrator,0.62,0.42,0.82
"And time... belongs to the wolves.",092-finale,other-screen-narrator,0.64,0.40,0.82
